,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,72.35,207.2,220.3
std,57.607816538346505,48.71679706004361,63.293052749221935
min,9.0,116.0,116.0
25%,19.25,174.25,180.75
50%,65.5,203.0,215.5
75%,108.75,234.25,244.0
max,194.0,315.0,362.0
