,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,1.1,5.4,1.1
std,0.30779350562554625,0.99472291830968,0.30779350562554625
min,1.0,4.0,1.0
25%,1.0,5.0,1.0
50%,1.0,5.0,1.0
75%,1.0,6.0,1.0
max,2.0,7.0,2.0
