,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,1.4,7.3,6.1
std,0.5026246899500346,0.9233805168766387,1.5525869752736796
min,1.0,6.0,3.0
25%,1.0,7.0,5.0
50%,1.0,7.0,6.0
75%,2.0,8.0,7.0
max,2.0,9.0,9.0
