,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,0.07161860466003418,0.0009598612785339355,38.00585352182388
std,0.015215307103396596,0.00019905663930546414,7.189164130491753
min,0.057218074798583984,0.0007679462432861328,33.06312870979309
25%,0.06153899431228638,0.000804603099822998,34.11267268657684
50%,0.06586146354675293,0.0008754730224609375,34.65769815444946
75%,0.07759618759155273,0.0010644793510437012,36.06054151058197
max,0.1137237548828125,0.001445770263671875,53.990411043167114
