,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,0.08237427473068237,0.000952136516571045,38.06838260889053
std,0.042148092662520974,9.696798380073324e-05,1.4339880049884837
min,0.05956006050109863,0.0008459091186523438,35.45083212852478
25%,0.06838077306747437,0.0008909106254577637,36.96666765213013
50%,0.07402873039245605,0.0009205341339111328,37.766244888305664
75%,0.07634836435317993,0.0009574294090270996,39.24655169248581
max,0.2578160762786865,0.0012259483337402344,40.905837059020996
