,simplex,nn,cfproto
count,20.0,20.0,20.0
mean,1.9,6.15,5.1
std,1.020835571068081,1.3869694338832113,1.860956177543373
min,1.0,4.0,2.0
25%,1.0,5.0,3.75
50%,1.5,6.0,5.5
75%,3.0,7.25,7.0
max,4.0,8.0,8.0
