,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,37.34646848867892,39.500136873937755,39.3341794429284
std,9.435583366741195,2.301545324352032,11.55984748800017
min,12.969675777964632,37.480539048221964,14.038958173916342
25%,32.51404538904773,37.480539048221964,32.581667837795884
50%,40.51267503360185,37.480539048221964,42.20726958165201
75%,44.255481634450874,42.07053410666695,46.820942616897504
max,49.64162200327227,42.07053410666695,57.008168978392185
