,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,0.11137841270001445,0.002283300619965303,53.53060110343997
std,0.019826001157635175,0.0007475544357438876,7.458610692607967
min,0.07499102800011315,0.0014752300003237906,39.09130066100079
25%,0.09702797449926948,0.0017881882497476909,49.79433958150025
50%,0.10858149300020159,0.0020682574995589675,53.32592757500015
75%,0.12498940375030543,0.0025862909999432304,59.829909660999874
max,0.15690265800003544,0.005840527000145812,65.9696516239992
