,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,41.20031410229242,47.21748757659458,44.12393101640819
std,14.601308676419137,5.153054857854258,15.27072620581703
min,2.0062492271553367,39.78118126085722,2.5543134431170387
25%,36.86187010322162,39.78118126085722,40.740482408739545
50%,44.727039650192914,50.71692584282392,48.63969210219691
75%,50.75642027663122,50.71692584282392,53.66675489908948
max,62.335374469668366,50.71692584282392,64.3039988730748
