,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,55.317898880329814,56.561535764608294,56.820442205047485
std,5.650139457034397,5.0943719139519485,7.0466570222876435
min,33.87136499827542,49.382053965838885,40.179197083873994
25%,52.759901493320314,50.603350976489814,53.172222834418925
50%,56.027648129433615,55.77082875948675,56.55826429872697
75%,58.983512366794145,60.6386308345479,62.51111728368855
max,64.07668397991009,63.16457416799729,69.42642587595843
