,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,69.52,223.72,231.24
std,109.76305463709227,39.68603311606989,81.0866404860019
min,6.0,159.0,136.0
25%,26.0,182.25,174.0
50%,44.5,231.5,214.0
75%,86.25,255.25,245.75
max,784.0,297.0,480.0
