,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,1.06,5.22,1.1
std,0.23989793748209526,0.7899883750113424,0.3642156795423418
min,1.0,4.0,1.0
25%,1.0,5.0,1.0
50%,1.0,5.0,1.0
75%,1.0,6.0,1.0
max,2.0,7.0,3.0
