,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,0.2281121912799972,0.001851569000100426,50.872679106300076
std,0.10292863981933162,0.0005432622571283737,4.870585961153076
min,0.08482931199978339,0.0011826419995486503,40.02974786300001
25%,0.10898536224999589,0.0016276687506433518,50.40287756125008
50%,0.23932407900019825,0.0017645944999458152,51.358701647499856
75%,0.30293339500030925,0.001947243000358867,54.05524504799973
max,0.44868032399972435,0.005066310000074736,61.20900461800011
