,simplex,nn,cfproto
count,50.0,50.0,50.0
mean,4.02,6.0,4.72
std,2.1805260552332366,1.8182745801939795,2.1763103020048047
min,1.0,3.0,1.0
25%,2.0,4.25,3.0
50%,4.0,6.0,4.0
75%,5.0,7.0,6.0
max,9.0,9.0,11.0
